variable,ar6_gwp_mass_adjusted
BC,
C2F6,12400.0
C3F8,9290.0
C4F10,10000.0
C5F12,9220.0
C6F14,8620.0
C7F16,8410.0
C8F18,8260.0
CCl4,2200.0
CF4,7380.0
CFC-11,6230.0
CFC-113,6520.0
CFC-114,9430.0
CFC-115,9600.0
CFC-12,12500.0
CH2Cl2,11.2
CH3Br,2.43
CH3CCl3,161.0
CH3Cl,5.54
CH4,29800.0
CHCl3,20.6
CO,
CO2 AFOLU,1000000.0
CO2 FFI,1000000.0
HCFC-141b,860.0
HCFC-142b,2300.0
HCFC-22,1960.0
HFC-125,3740.0
HFC-134a,1530.0
HFC-143a,5810.0
HFC-152a,164.0
HFC-227ea,3600.0
HFC-23,14600.0
HFC-236fa,8690.0
HFC-245fa,962.0
HFC-32,771.0
HFC-365mfc,914.0
HFC-4310mee,1600.0
Halon-1211,1930.0
Halon-1301,7200.0
Halon-2402,2170.0
N2O,273000.0
NF3,17400.0
NH3,
NOx,
OC,
SF6,24300.0
SO2F2,4630.0
Sulfur,
VOC,
c-C4F8,10200.0
GHG,1.0
